# time, NonControlledInfectedClasses, ControlledInfectedClasses
2.196100278551531915e+02,1.266951252113884721e+03,9.681241203161678754e+01
2.206128133704735319e+02,1.259337845266748218e+03,9.544218676009111846e+01
2.216155988857938723e+02,1.251770015517812681e+03,9.409547194083006616e+01
2.226183844011141844e+02,1.244247492134122467e+03,9.277184653849168683e+01
2.236211699164345248e+02,1.236770005965365726e+03,9.147089769491532252e+01
2.246239554317548652e+02,1.229337289434932472e+03,9.019222057130421888e+01
2.256267409470752057e+02,1.221949076531018136e+03,8.893541819366436130e+01
2.266295264623955461e+02,1.214605102797774862e+03,8.770010130144726190e+01
2.276323119777158581e+02,1.207305105326508283e+03,8.648588819934663263e+01
2.286350974930361986e+02,1.200048822746921360e+03,8.529240461219941949e+01
2.296378830083565390e+02,1.192835995218403013e+03,8.411928354294072108e+01
2.306406685236768794e+02,1.185666364421363596e+03,8.296616513356310918e+01
2.316434540389971914e+02,1.178539673548614701e+03,8.183269652903075553e+01
2.326462395543175319e+02,1.171455667296797174e+03,8.071853174409913834e+01
2.336490250696378723e+02,1.164414091857849144e+03,7.962333153299228172e+01
2.346518105849582128e+02,1.157414694910525213e+03,7.854676326188941005e+01
2.356545961002785532e+02,1.150457225611955664e+03,7.748850078417457610e+01
2.366573816155988652e+02,1.143541434589252049e+03,7.644822431840367472e+01
2.376601671309192056e+02,1.136667073931158029e+03,7.542562032894426238e+01
2.386629526462395461e+02,1.129833897179742507e+03,7.442038140924518075e+01
2.396657381615598865e+02,1.123041659322138230e+03,7.343220616769409048e+01
2.406685236768802270e+02,1.116290116782324276e+03,7.246079911602244294e+01
2.416713091922005390e+02,1.109579027412950381e+03,7.150587056021868193e+01
2.426740947075208794e+02,1.102908150487207195e+03,7.056713649391213039e+01
2.436768802228412198e+02,1.096277246690737911e+03,6.964431849419109710e+01
2.446796657381615603e+02,1.089686078113593567e+03,6.873714361982028720e+01
2.456824512534818723e+02,1.083134408242231757e+03,6.784534431182390790e+01
2.466852367688022127e+02,1.076622001951556740e+03,6.696865829640238132e+01
2.476880222841225532e+02,1.070148625497003195e+03,6.610682849015152840e+01
2.486908077994428936e+02,1.063714046506661589e+03,6.525960290755465110e+01
2.496935933147632340e+02,1.057318033973446518e+03,6.442673457071913390e+01
2.506963788300835461e+02,1.050960358247305294e+03,6.360798142133024413e+01
2.516991643454038865e+02,1.044640791027470186e+03,6.280310623479677190e+01
2.527019498607242269e+02,1.038359105354750227e+03,6.201187653656486276e+01
2.537047353760445674e+02,1.032115075603866444e+03,6.123406452058013372e+01
2.547075208913648794e+02,1.025908477475827112e+03,6.046944696988393275e+01
2.557103064066852198e+02,1.019739087990342568e+03,5.971780517934087840e+01
2.567130919220055603e+02,1.013606685478284135e+03,5.897892488051451210e+01
2.577158774373259007e+02,1.007511049574180788e+03,5.825259616874116375e+01
2.587186629526462411e+02,1.001451961208757439e+03,5.753861343249875659e+01
2.597214484679665816e+02,9.954292026015131114e+02,5.683677528520513533e+01
2.607242339832869220e+02,9.894425572533391460e+02,5.614688449950956795e+01
2.617270194986072056e+02,9.834918099391774149e+02,5.546874794136794407e+01
2.627298050139275460e+02,9.775767467007182177e+02,5.480217650067604040e+01
2.637325905292478865e+02,9.716971548391375109e+02,5.414698503606791036e+01
2.647353760445682269e+02,9.658528229078729055e+02,5.350299231917485088e+01
2.657381615598885674e+02,9.600435407054403640e+02,5.287002097745947538e+01
2.667409470752089078e+02,9.542690992682878459e+02,5.224789743916424811e+01
2.677437325905292482e+02,9.485292908636890843e+02,5.163645188087159710e+01
2.687465181058495887e+02,9.428239089826749932e+02,5.103551817765326604e+01
