# time, Quarantine, Isolation
1.724791086350974751e+02,4.829472941863446334e-01,2.493557488576108594e-01
1.734818941504178156e+02,4.808944058463872628e-01,2.484805334639757501e-01
1.744846796657381560e+02,4.788546801004152087e-01,2.476201686995409545e-01
1.754874651810584965e+02,4.768270428846019815e-01,2.467706884957782121e-01
1.764902506963788369e+02,4.748107669473992098e-01,2.459294516698500577e-01
1.774930362116991489e+02,4.728055819836798346e-01,2.450947409491357754e-01
1.784958217270194893e+02,4.708112208230788576e-01,2.442654077568445214e-01
1.794986072423398298e+02,4.688274515493696670e-01,2.434406969627791462e-01
1.805013927576601702e+02,4.668542680605632933e-01,2.426201382496120940e-01
1.815041782729804822e+02,4.648915282937131632e-01,2.418034030823214553e-01
1.825069637883008227e+02,4.629391586827995564e-01,2.409902687272736932e-01
1.835097493036211631e+02,4.609970916955723474e-01,2.401805873403515812e-01
1.845125348189415035e+02,4.590652585152127374e-01,2.393742583314964478e-01
1.855153203342618440e+02,4.571435884664664107e-01,2.385712102403327872e-01
1.865181058495821560e+02,4.552320083606912204e-01,2.377713894195450928e-01
1.875208913649024964e+02,4.533304416087516331e-01,2.369747527825319111e-01
1.885236768802228369e+02,4.514388074456506250e-01,2.361812627386544183e-01
1.895264623955431773e+02,4.495570219743545426e-01,2.353908826552297828e-01
1.905292479108634893e+02,4.476850020166241451e-01,2.346035941167873284e-01
1.915320334261838298e+02,4.458226583753524541e-01,2.338193626486829158e-01
1.925348189415041702e+02,4.439698966184274509e-01,2.330381502030132723e-01
1.935376044568245106e+02,4.421266217096350148e-01,2.322599293366543471e-01
1.945403899721448511e+02,4.402927362092042829e-01,2.314846699704403987e-01
1.955431754874651631e+02,4.384681410435116167e-01,2.307123407378784408e-01
1.965459610027855035e+02,4.366527525164081158e-01,2.299429068415992372e-01
1.975487465181058440e+02,4.348464349062185486e-01,2.291763283886693037e-01
1.985515320334261844e+02,4.330491061036189637e-01,2.284125747137207008e-01
1.995543175487464964e+02,4.312606656090689494e-01,2.276516130473600907e-01
2.005571030640668369e+02,4.294809999313279336e-01,2.268934047845014845e-01
2.015598885793871773e+02,4.277100036540657513e-01,2.261379108068964638e-01
2.025626740947075177e+02,4.259475704007135155e-01,2.253850924579165471e-01
2.035654596100278582e+02,4.241935925334927582e-01,2.246349109315614601e-01
2.045682451253481702e+02,4.224479616520286918e-01,2.238873269053789916e-01
2.055710306406685106e+02,4.207105688334877858e-01,2.231423004440871438e-01
2.065738161559888511e+02,4.189813047037980187e-01,2.223997910183094229e-01
2.075766016713091915e+02,4.172600594608689151e-01,2.216597575509903217e-01
2.085793871866295035e+02,4.155467228932880897e-01,2.209221584601901989e-01
2.095821727019498439e+02,4.138411843992476635e-01,2.201869516913781133e-01
2.105849582172701844e+02,4.121433330014420138e-01,2.194540947394217345e-01
2.115877437325905248e+02,4.104530573589260656e-01,2.187235446600380162e-01
2.125905292479108653e+02,4.087702457923947930e-01,2.179952580661275729e-01
2.135933147632311773e+02,4.070947863568297187e-01,2.172691910989845154e-01
2.145961002785515177e+02,4.054265669397292271e-01,2.165452993731842302e-01
2.155988857938718581e+02,4.037654748674105454e-01,2.158235379878058191e-01
2.166016713091921986e+02,4.021113931722847812e-01,2.151038621385685801e-01
2.176044568245125390e+02,4.004642165285432487e-01,2.143862275422089847e-01
2.186072423398328510e+02,3.988238260491289155e-01,2.136705871659114464e-01
2.196100278551531915e+02,3.971901064653310942e-01,2.129568937543630525e-01
2.206128133704735319e+02,3.955629451207308689e-01,2.122451007625715258e-01
2.216155988857938723e+02,3.939422267762251462e-01,2.115351611549098343e-01
2.226183844011141844e+02,3.923278357242031000e-01,2.108270271484380398e-01
2.236211699164345248e+02,3.907196558974870282e-01,2.101206503384801250e-01
2.246239554317548652e+02,3.891175707512651849e-01,2.094159817779255583e-01
2.256267409470752057e+02,3.875214631881678251e-01,2.087129719931677396e-01
2.266295264623955461e+02,3.859312155182226811e-01,2.080115709697583914e-01
2.276323119777158581e+02,3.843467094277313034e-01,2.073117281283466951e-01
2.286350974930361986e+02,3.827678259461489985e-01,2.066133922988793448e-01
2.296378830083565390e+02,3.811944454089862266e-01,2.059165116950510410e-01
2.306406685236768794e+02,3.796264474174280146e-01,2.052210338889533803e-01
2.316434540389971914e+02,3.780637107955049370e-01,2.045269057854338102e-01
2.326462395543175319e+02,3.765061135452272834e-01,2.038340735957215877e-01
2.336490250696378723e+02,3.749535327997624012e-01,2.031424828100063529e-01
2.346518105849582128e+02,3.734058447745735587e-01,2.024520781687548232e-01
2.356545961002785532e+02,3.718629247163856011e-01,2.017628036326176433e-01
2.366573816155988652e+02,3.703246468498360700e-01,2.010746023508140357e-01
2.376601671309192056e+02,3.687908843216766153e-01,2.003874166279039915e-01
2.386629526462395461e+02,3.672615091423913625e-01,1.997011878888668435e-01
2.396657381615598865e+02,3.657363921251006733e-01,1.990158566424149178e-01
2.406685236768802270e+02,3.642154028216169070e-01,1.983313624424739574e-01
2.416713091922005390e+02,3.626984094555197879e-01,1.976476438477730579e-01
2.426740947075208794e+02,3.611852788521272006e-01,1.969646383795005118e-01
2.436768802228412198e+02,3.596758763652476709e-01,1.962822824770040220e-01
2.446796657381615603e+02,3.581700658006335969e-01,1.956005114515406706e-01
2.456824512534818723e+02,3.566677093360786088e-01,1.949192594381147781e-01
2.466852367688022127e+02,3.551686674381626663e-01,1.942384593454667407e-01
2.476880222841225532e+02,3.536727987757035119e-01,1.935580428042734946e-01
2.486908077994428936e+02,3.521799601300496518e-01,1.928779401135622129e-01
2.496935933147632340e+02,3.506900063024170899e-01,1.921980801851506659e-01
2.506963788300835461e+02,3.492027900184627165e-01,1.915183904855391195e-01
2.516991643454038865e+02,3.477181618299963750e-01,1.908387969739496204e-01
2.527019498607242269e+02,3.462359700126340090e-01,1.901592240340019280e-01
2.537047353760445674e+02,3.447560604551567209e-01,1.894795943946522565e-01
2.547075208913648794e+02,3.432782765293865834e-01,1.887998290332828233e-01
2.557103064066852198e+02,3.418024589162967364e-01,1.881198470496876496e-01
2.567130919220055603e+02,3.403284453464473502e-01,1.874395654921952314e-01
2.577158774373259007e+02,3.388560702118275647e-01,1.867588990992076203e-01
2.587186629526462411e+02,3.373851641112100008e-01,1.860777598676544575e-01
2.597214484679665816e+02,3.359155538966723809e-01,1.853960562042464844e-01
2.607242339832869220e+02,3.344470655522815417e-01,1.847136909606487409e-01
2.617270194986072056e+02,3.329795271943096768e-01,1.840306029249398068e-01
2.627298050139275460e+02,3.315127535963532379e-01,1.833466704938143121e-01
